code,link
BNGA,https://query1.finance.yahoo.com/v7/finance/download/BNGA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BNII,https://query1.finance.yahoo.com/v7/finance/download/BNII.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BNLI,https://query1.finance.yahoo.com/v7/finance/download/BNLI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BOGA,https://query1.finance.yahoo.com/v7/finance/download/BOGA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BOLT,https://query1.finance.yahoo.com/v7/finance/download/BOLT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BORN,https://query1.finance.yahoo.com/v7/finance/download/BORN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BPFI,https://query1.finance.yahoo.com/v7/finance/download/BPFI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BPII,https://query1.finance.yahoo.com/v7/finance/download/BPII.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRAM,https://query1.finance.yahoo.com/v7/finance/download/BRAM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRAU,https://query1.finance.yahoo.com/v7/finance/download/BRAU.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRMS,https://query1.finance.yahoo.com/v7/finance/download/BRMS.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRNA,https://query1.finance.yahoo.com/v7/finance/download/BRNA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRPT,https://query1.finance.yahoo.com/v7/finance/download/BRPT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSDE,https://query1.finance.yahoo.com/v7/finance/download/BSDE.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSIM,https://query1.finance.yahoo.com/v7/finance/download/BSIM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSIM-W3,https://query1.finance.yahoo.com/v7/finance/download/BSIM-W3.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSSR,https://query1.finance.yahoo.com/v7/finance/download/BSSR.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSWD,https://query1.finance.yahoo.com/v7/finance/download/BSWD.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BTEK,https://query1.finance.yahoo.com/v7/finance/download/BTEK.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BTEL,https://query1.finance.yahoo.com/v7/finance/download/BTEL.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BTON,https://query1.finance.yahoo.com/v7/finance/download/BTON.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BTPN,https://query1.finance.yahoo.com/v7/finance/download/BTPN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BUDI,https://query1.finance.yahoo.com/v7/finance/download/BUDI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BUKK,https://query1.finance.yahoo.com/v7/finance/download/BUKK.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BULL,https://query1.finance.yahoo.com/v7/finance/download/BULL.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BULL-W,https://query1.finance.yahoo.com/v7/finance/download/BULL-W.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BUMI,https://query1.finance.yahoo.com/v7/finance/download/BUMI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BUVA,https://query1.finance.yahoo.com/v7/finance/download/BUVA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BVIC,https://query1.finance.yahoo.com/v7/finance/download/BVIC.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BWPT,https://query1.finance.yahoo.com/v7/finance/download/BWPT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BYAN,https://query1.finance.yahoo.com/v7/finance/download/BYAN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CAMP,https://query1.finance.yahoo.com/v7/finance/download/CAMP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CANI,https://query1.finance.yahoo.com/v7/finance/download/CANI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CARS,https://query1.finance.yahoo.com/v7/finance/download/CARS.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CASA,https://query1.finance.yahoo.com/v7/finance/download/CASA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CASA-W,https://query1.finance.yahoo.com/v7/finance/download/CASA-W.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CASS,https://query1.finance.yahoo.com/v7/finance/download/CASS.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CEKA,https://query1.finance.yahoo.com/v7/finance/download/CEKA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CENT,https://query1.finance.yahoo.com/v7/finance/download/CENT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CFIN,https://query1.finance.yahoo.com/v7/finance/download/CFIN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CINT,https://query1.finance.yahoo.com/v7/finance/download/CINT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CITA,https://query1.finance.yahoo.com/v7/finance/download/CITA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CKRA,https://query1.finance.yahoo.com/v7/finance/download/CKRA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CLEO,https://query1.finance.yahoo.com/v7/finance/download/CLEO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CLPI,https://query1.finance.yahoo.com/v7/finance/download/CLPI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CMNP,https://query1.finance.yahoo.com/v7/finance/download/CMNP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CMPP,https://query1.finance.yahoo.com/v7/finance/download/CMPP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CNKO,https://query1.finance.yahoo.com/v7/finance/download/CNKO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CNTB,https://query1.finance.yahoo.com/v7/finance/download/CNTB.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CNTX,https://query1.finance.yahoo.com/v7/finance/download/CNTX.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
